feature,coefficient,absolute_coefficient
planned_stop_bps,0.4929095213853146,0.4929095213853146
hour_utc_06,0.2309557271074404,0.2309557271074404
planned_target_bps,-0.17454406554667398,0.17454406554667398
atr_percentile,0.16563546744872482,0.16563546744872482
regime_expanding,0.14529698018064763,0.14529698018064763
expected_move_bps,-0.13905481599896963,0.13905481599896963
volatility_regime_low,0.13399546762532713,0.13399546762532713
hour_utc_11,0.13396956449293523,0.13396956449293523
regime_trending_down,-0.13040222099025559,0.13040222099025559
hour_utc_08,-0.11506118884063224,0.11506118884063224
scanner_id_delta_imbalance_fade_v1,0.10981315287301746,0.10981315287301746
regime_quiet,0.10805619242846624,0.10805619242846624
hour_utc_23,0.1080181101043831,0.1080181101043831
regime_trending_up,-0.10247095153159144,0.10247095153159144
hour_utc_12,-0.10186242969167462,0.10186242969167462
bb_width_percentile,-0.10116806555461207,0.10116806555461207
volatility_regime_high,-0.1005716627353287,0.1005716627353287
scanner_id_delta_momentum_burst_v1,-0.08933315278574407,0.08933315278574407
trend_direction_up,0.08447457761225247,0.08447457761225247
hour_utc_00,-0.08021594122621253,0.08021594122621253
