key,change_point_window,scanner_id,symbol,trend_regime,volatility_regime,trades,net_bps,average_net_bps,median_net_bps,gross_bps,cost_bps,average_cost_bps,hit_rate,false_signal_rate,profit_factor,average_win_bps,average_loss_bps,average_mfe_bps,average_mae_bps,average_hold_seconds,average_hold_bars_1m,average_expected_net_bps,expectation_error_bps,same_bar_ambiguity_rate,win_rate,avg_net_bps,total_net_bps,avg_mfe_bps,avg_mae_bps,avg_hold_bars,average_net_standard_error_bps,average_net_ci95_low_bps,average_net_ci95_high_bps,average_net_uplift_vs_selection_bps,pct_of_selection_trades
30-60m | delta_imbalance_fade_v1 | ETHUSD | range | high,30-60m,delta_imbalance_fade_v1,ETHUSD,range,high,96,-729.2974262160461,-7.596848189750481,-16.885835840464626,-214.7374262160462,514.56,5.359999999999999,0.3645833333333333,0.6354166666666666,0.3773569482938456,12.628443967389412,19.201524017617633,15.19977411100229,18.717021675325395,111.875,1.8645833333333333,15.231958636849383,-22.828806826599862,0.010416666666666666,0.3645833333333333,-7.596848189750481,-729.2974262160461,15.19977411100229,18.717021675325395,1.8645833333333333,1.6133892611592857,-10.75909114162268,-4.434605237878281,-1.31378361946694,0.6147540983606558
01-04h | delta_momentum_burst_v1 | BTCUSD | range | low,01-04h,delta_momentum_burst_v1,BTCUSD,range,low,93,-592.8556678115692,-6.3747921270061205,-13.252529318209717,-94.37566781156926,498.47999999999996,5.359999999999999,0.34408602150537637,0.6559139784946236,0.34555655930569995,9.782413574411942,14.85070331463527,12.41191093368011,11.936396465103915,86.45161290322581,1.4408602150537635,12.233221186220167,-18.608013313226287,0.03225806451612903,0.34408602150537637,-6.3747921270061205,-592.8556678115692,12.41191093368011,11.936396465103915,1.4408602150537635,1.2446465651041312,-8.814299394610217,-3.9352848594020235,-0.0917275567225797,0.5955430327868853
00-30m | delta_imbalance_fade_v1 | BTCUSD | range | high,00-30m,delta_imbalance_fade_v1,BTCUSD,range,high,86,-412.0283591028825,-4.791027431428867,-15.54457478069723,48.93164089711743,460.9599999999999,5.359999999999999,0.45348837209302323,0.5465116279069767,0.5477419478219949,12.795350755378573,19.383979543886102,16.572119795512137,16.338713890929554,129.7674418604651,2.1627906976744184,15.611403513305843,-20.40243094473471,0.03488372093023256,0.45348837209302323,-4.791027431428867,-412.0283591028825,16.572119795512137,16.338713890929554,2.1627906976744184,1.7890100088389969,-8.2974870487533,-1.2845678141044328,1.4920371388546743,0.5507172131147541
01-04h | delta_momentum_burst_v1 | BTCUSD | range | high,01-04h,delta_momentum_burst_v1,BTCUSD,range,high,86,-416.33529351760313,-4.841108064158176,-13.191574388100225,44.6247064823968,460.9599999999999,5.359999999999999,0.4069767441860465,0.5930232558139535,0.49070010856644536,11.460874437095995,16.02874311403849,17.70111648544467,15.891812623706475,83.72093023255815,1.3953488372093024,15.000794633781274,-19.841902697939453,0.011627906976744186,0.4069767441860465,-4.841108064158176,-416.33529351760313,17.70111648544467,15.891812623706475,1.3953488372093024,1.5165053054746322,-7.813458462888455,-1.8687576654278968,1.441956506125365,0.5507172131147541
04h+ | delta_imbalance_fade_v1 | ETHUSD | range | high,04h+,delta_imbalance_fade_v1,ETHUSD,range,high,86,-622.3042720269186,-7.236096186359519,-15.89703401352135,-161.3442720269187,460.9599999999999,5.359999999999999,0.37209302325581395,0.627906976744186,0.38893409952165525,12.377723472613724,18.859100428714033,14.012875075963079,21.0694340714979,108.83720930232558,1.813953488372093,15.410430167023561,-22.64652635338308,0.023255813953488372,0.37209302325581395,-7.236096186359519,-622.3042720269186,14.012875075963079,21.0694340714979,1.813953488372093,1.6802500773170248,-10.529386337900888,-3.94280603481815,-0.953031616075978,0.5507172131147541
04h+ | delta_imbalance_fade_v1 | ETHUSD | weak_trend | medium,04h+,delta_imbalance_fade_v1,ETHUSD,weak_trend,medium,83,-319.7802639131644,-3.852774264014029,-14.363517608898725,125.09973608683555,444.87999999999994,5.359999999999999,0.4939759036144578,0.5060240963855421,0.5749775150309552,10.551319047997993,17.913912973359096,13.969367546994146,15.565670790394444,111.32530120481928,1.8554216867469882,12.183310955847542,-16.036085219861572,0.012048192771084338,0.4939759036144578,-3.852774264014029,-319.7802639131644,13.969367546994146,15.565670790394444,1.8554216867469882,1.6010110133081048,-6.990755850097914,-0.7147926779301437,2.430290306269512,0.5315061475409836
04h+ | delta_momentum_burst_v1 | BTCUSD | weak_trend | medium,04h+,delta_momentum_burst_v1,BTCUSD,weak_trend,medium,82,-572.4849150042432,-6.981523353710283,-13.297379040601765,-132.96491500424335,439.52,5.359999999999999,0.3170731707317073,0.6829268292682927,0.315336544614307,10.141165174555473,14.931343027547957,19.25317289011239,14.111051940180637,92.1951219512195,1.5365853658536583,13.05120095254148,-20.032724306251765,0.12195121951219512,0.3170731707317073,-6.981523353710283,-572.4849150042432,19.25317289011239,14.111051940180637,1.5365853658536583,1.3300975443561043,-9.588514540648248,-4.374532166772319,-0.6984587834267426,0.5251024590163934
