key,change_point_window,scanner_id,symbol,trend_regime,volatility_regime,trades,net_bps,average_net_bps,median_net_bps,gross_bps,cost_bps,average_cost_bps,hit_rate,false_signal_rate,profit_factor,average_win_bps,average_loss_bps,average_mfe_bps,average_mae_bps,average_hold_seconds,average_hold_bars_1m,average_expected_net_bps,expectation_error_bps,same_bar_ambiguity_rate,win_rate,avg_net_bps,total_net_bps,avg_mfe_bps,avg_mae_bps,avg_hold_bars,average_net_standard_error_bps,average_net_ci95_low_bps,average_net_ci95_high_bps,average_net_uplift_vs_selection_bps,pct_of_selection_trades
01-04h | delta_momentum_burst_v1 | ETHUSD | weak_trend | medium,01-04h,delta_momentum_burst_v1,ETHUSD,weak_trend,medium,512,-3303.963518901663,-6.453053747854811,-13.775793383676483,-559.6435189016636,2744.3199999999997,5.359999999999999,0.333984375,0.666015625,0.3814728903873086,11.916372586380552,15.664701557691314,17.87241107243455,15.463030444874303,85.546875,1.42578125,14.357690217382777,-20.810743965237588,0.08203125,0.333984375,-6.453053747854811,-3303.963518901663,17.87241107243455,15.463030444874303,1.42578125,0.5932331520461367,-7.615790725865239,-5.290316769844383,-0.16998917757126986,3.278688524590164
00-30m | delta_momentum_burst_v1 | ETHUSD | weak_trend | high,00-30m,delta_momentum_burst_v1,ETHUSD,weak_trend,high,451,-3115.708264148606,-6.908444044675401,-15.690455995489762,-698.3482641486061,2417.3599999999997,5.359999999999999,0.31929046563192903,0.6807095343680709,0.4170251964299705,15.477713555902868,17.408791583708854,21.608026387829096,22.376194188778296,82.61640798226163,1.3769401330376938,19.926976288504108,-26.835420333179506,0.09312638580931264,0.31929046563192903,-6.908444044675401,-3115.708264148606,21.608026387829096,22.376194188778296,1.3769401330376938,0.7454393485423163,-8.36950516781834,-5.447382921532461,-0.6253794743918606,2.888063524590164
04h+ | delta_momentum_burst_v1 | ETHUSD | weak_trend | high,04h+,delta_momentum_burst_v1,ETHUSD,weak_trend,high,437,-2856.185956186262,-6.535894636581835,-14.32089870312866,-513.8659561862625,2342.3199999999997,5.359999999999999,0.32494279176201374,0.6750572082379863,0.409370711996425,13.941192514908417,16.392662011197483,20.010138151143664,17.273479263063923,84.02745995423341,1.40045766590389,16.634123237526236,-23.17001787410807,0.09382151029748284,0.32494279176201374,-6.535894636581835,-2856.185956186262,20.010138151143664,17.273479263063923,1.40045766590389,0.7034435295182099,-7.914643954437526,-5.157145318726144,-0.2528300662982943,2.7984118852459017
01-04h | delta_momentum_burst_v1 | ETHUSD | range | medium,01-04h,delta_momentum_burst_v1,ETHUSD,range,medium,420,-2703.7313168948226,-6.437455516416244,-13.44947746045785,-452.5313168948231,2251.2,5.359999999999999,0.3357142857142857,0.6642857142857143,0.3723410794982336,11.375268769613688,15.43958499430234,15.67069848068169,14.981130556283148,86.71428571428571,1.4452380952380952,13.848040615254073,-20.285496131670318,0.05714285714285714,0.3357142857142857,-6.437455516416244,-2703.7313168948226,15.67069848068169,14.981130556283148,1.4452380952380952,0.6361523767592645,-7.684314174864403,-5.190596857968085,-0.1543909461327031,2.6895491803278686
01-04h | delta_momentum_burst_v1 | ETHUSD | strong_trend | medium,01-04h,delta_momentum_burst_v1,ETHUSD,strong_trend,medium,394,-2991.3391145704422,-7.592231255254929,-14.014923667020808,-879.4991145704423,2111.8399999999997,5.359999999999999,0.29441624365482233,0.7055837563451777,0.3227392427212495,12.288631588951304,15.887843089528033,15.663420460220765,16.9578961359427,85.1269035532995,1.418781725888325,14.991627809106761,-22.583859064361693,0.07614213197969544,0.29441624365482233,-7.592231255254929,-2991.3391145704422,15.663420460220765,16.9578961359427,1.418781725888325,0.6705206911134779,-8.906451809837346,-6.278010700672512,-1.3091666849713883,2.5230532786885242
00-30m | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,00-30m,delta_momentum_burst_v1,ETHUSD,strong_trend,high,384,-2927.251729104295,-7.623051377875768,-16.237655734348735,-869.0117291042953,2058.24,5.359999999999999,0.3046875,0.6953125,0.37549533850950684,15.043298562158421,17.555496857216596,24.321737947041697,23.868372652053335,81.5625,1.359375,19.876310704583034,-27.499362082458802,0.09375,0.3046875,-7.623051377875768,-2927.251729104295,24.321737947041697,23.868372652053335,1.359375,0.7911700568443515,-9.173744689290697,-6.07235806646084,-1.3399868075922274,2.459016393442623
04h+ | delta_momentum_burst_v1 | ETHUSD | weak_trend | medium,04h+,delta_momentum_burst_v1,ETHUSD,weak_trend,medium,384,-2731.3717464591823,-7.11294725640412,-13.355033565151853,-673.1317464591824,2058.24,5.359999999999999,0.3125,0.6875,0.3193967271850243,10.681592240666333,15.201374300527053,16.80763873756207,15.039335397930044,84.6875,1.4114583333333333,13.08905337578215,-20.20200063218627,0.06770833333333333,0.3125,-7.11294725640412,-2731.3717464591823,16.80763873756207,15.039335397930044,1.4114583333333333,0.6308026635857341,-8.349320477032158,-5.876574035776081,-0.8298826861205795,2.459016393442623
01-04h | delta_momentum_burst_v1 | ETHUSD | weak_trend | low,01-04h,delta_momentum_burst_v1,ETHUSD,weak_trend,low,370,-2079.790419453356,-5.621055187711773,-13.306721679329971,-96.59041945335622,1983.1999999999998,5.359999999999999,0.372972972972973,0.6270270270270271,0.406390257168634,10.317696628343638,15.101864457606801,16.18030801046495,12.480634279218542,91.45945945945945,1.5243243243243243,12.82325442000091,-18.444309607712682,0.06486486486486487,0.372972972972973,-5.621055187711773,-2079.790419453356,16.18030801046495,12.480634279218542,1.5243243243243243,0.6566753420737373,-6.908138858176299,-4.333971517247248,0.6620093825717674,2.3693647540983607
04h+ | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,04h+,delta_momentum_burst_v1,ETHUSD,strong_trend,high,368,-2594.6761354189152,-7.050750367986183,-13.797367389291239,-622.1961354189153,1972.4799999999998,5.359999999999999,0.31521739130434784,0.6847826086956522,0.3444505053228762,11.752939686360362,15.706417218399672,15.060952653127243,15.86986867782781,85.76086956521739,1.4293478260869565,14.491751923018038,-21.54250229100422,0.035326086956521736,0.31521739130434784,-7.050750367986183,-2594.6761354189152,15.060952653127243,15.86986867782781,1.4293478260869565,0.6876771605106986,-8.398597602587152,-5.702903133385213,-0.7676857977026419,2.3565573770491803
00-30m | delta_imbalance_fade_v1 | ETHUSD | weak_trend | high,00-30m,delta_imbalance_fade_v1,ETHUSD,weak_trend,high,356,-2228.3435637578095,-6.259392033027555,-18.39559023820511,-320.1835637578099,1908.1599999999999,5.359999999999999,0.38202247191011235,0.6179775280898876,0.4949928920525319,16.059969426996737,20.056815481042573,18.72024899530552,21.110220199036934,103.48314606741573,1.7247191011235956,18.668318798914303,-24.92771083194186,0.03651685393258427,0.38202247191011235,-6.259392033027555,-2228.3435637578095,18.72024899530552,21.110220199036934,1.7247191011235956,0.9515075194941764,-8.12434677123614,-4.394437294818969,0.023672537255985837,2.2797131147540983
00-30m | delta_momentum_burst_v1 | BTCUSD | weak_trend | high,00-30m,delta_momentum_burst_v1,BTCUSD,weak_trend,high,345,-2553.141925555217,-7.400411378420919,-13.907629162729553,-703.941925555217,1849.1999999999998,5.359999999999999,0.30144927536231886,0.6985507246376812,0.3305548673969879,12.12188574516871,15.824971132999016,14.226202225887512,16.395671161362223,91.30434782608695,1.5217391304347825,15.163709121004837,-22.564120499425755,0.03768115942028986,0.30144927536231886,-7.400411378420919,-2553.141925555217,14.226202225887512,16.395671161362223,1.5217391304347825,0.7183903090080901,-8.808456384076775,-5.992366372765062,-1.1173468081373779,2.2092725409836067
30-60m | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,30-60m,delta_momentum_burst_v1,ETHUSD,strong_trend,high,344,-2691.847735288584,-7.82513876537379,-15.324463903766596,-848.007735288584,1843.8399999999997,5.359999999999999,0.29651162790697677,0.7034883720930233,0.34887358539342994,14.14011993521384,17.083223011076015,18.20871988191163,20.178212061653145,82.15116279069767,1.369186046511628,18.780753583733283,-26.60589234910707,0.06395348837209303,0.29651162790697677,-7.82513876537379,-2691.847735288584,18.20871988191163,20.178212061653145,1.369186046511628,0.7969720224855492,-9.387203929445466,-6.263073601302113,-1.5420741950902492,2.2028688524590163
00-30m | delta_imbalance_fade_v1 | ETHUSD | strong_trend | high,00-30m,delta_imbalance_fade_v1,ETHUSD,strong_trend,high,342,-1426.736088366209,-4.171742948439208,-16.877574821913733,406.38391163379083,1833.12,5.359999999999999,0.43567251461988304,0.564327485380117,0.6339404070037943,16.582653266895644,20.194566969604455,23.945309066501697,22.485046804960415,106.84210526315789,1.780701754385965,19.56487380631993,-23.736616754759137,0.05263157894736842,0.43567251461988304,-4.171742948439208,-1426.736088366209,23.945309066501697,22.485046804960415,1.780701754385965,1.0130962500077711,-6.1574115984544395,-2.1860742984239767,2.1113216218443327,2.190061475409836
01-04h | delta_momentum_burst_v1 | ETHUSD | range | low,01-04h,delta_momentum_burst_v1,ETHUSD,range,low,339,-2239.5427318221296,-6.6063207428381405,-13.280577858475663,-422.5027318221297,1817.0399999999997,5.359999999999999,0.3392330383480826,0.6607669616519174,0.337110647152043,9.903596526926897,15.08239434115501,14.055282755323516,13.294902298810879,85.84070796460178,1.4306784660766962,12.60921103535623,-19.215531778194368,0.06489675516224189,0.3392330383480826,-6.6063207428381405,-2239.5427318221296,14.055282755323516,13.294902298810879,1.4306784660766962,0.6582195226218323,-7.896431007176932,-5.316210478499349,-0.3232561725545997,2.1708504098360657
01-04h | delta_momentum_burst_v1 | ETHUSD | strong_trend | high,01-04h,delta_momentum_burst_v1,ETHUSD,strong_trend,high,336,-2371.3206313166165,-7.057501878918502,-13.90290838997629,-570.3606313166165,1800.9599999999998,5.359999999999999,0.3244047619047619,0.6755952380952381,0.3599016512379041,12.232096940393342,16.319908360438284,17.996961453979637,17.5769226551489,83.39285714285714,1.3898809523809523,16.093879365584417,-23.151381244502918,0.08035714285714286,0.3244047619047619,-7.057501878918502,-2371.3206313166165,17.996961453979637,17.5769226551489,1.3898809523809523,0.7586865123434501,-8.544527443111663,-5.570476314725339,-0.774437308634961,2.151639344262295
04h+ | delta_momentum_burst_v1 | ETHUSD | range | medium,04h+,delta_momentum_burst_v1,ETHUSD,range,medium,304,-1916.6836273038025,-6.304880352973035,-13.44745370210695,-287.2436273038026,1629.4399999999998,5.359999999999999,0.3355263157894737,0.6644736842105263,0.36677409973954384,10.884043051413162,14.984435735385867,16.490244227352157,13.736313902230659,86.44736842105263,1.4407894736842104,13.132466740728441,-19.437347093701476,0.07894736842105263,0.3355263157894737,-6.304880352973035,-1916.6836273038025,16.490244227352157,13.736313902230659,1.4407894736842104,0.7233529413636436,-7.722652118045776,-4.887108587900293,-0.0218157826894938,1.9467213114754098
