change_point_window,symbol,range | high,range | medium,strong_trend | high,strong_trend | medium,weak_trend | high,weak_trend | medium
00-30m,BTCUSD,-4.791027431428867,,-5.041561037432314,,-3.005600691377206,
00-30m,ETHUSD,-6.238365948471198,,-4.171742948439208,,-6.259392033027555,
01-04h,ETHUSD,,-6.059576309359774,-6.850830564496785,-6.557998088599228,-3.2140026485392976,-4.3146139578603515
04h+,ETHUSD,-7.236096186359519,,-6.534524199148807,,-4.968243809333971,-3.852774264014029
30-60m,ETHUSD,-7.596848189750481,,-4.603226781366453,,-5.748286583277495,
