change_point_window,symbol,range | high,range | medium,strong_trend | high,strong_trend | medium,weak_trend | high,weak_trend | medium
00-30m,BTCUSD,0.5477419478219949,,0.5411066450306776,,0.6762150079884202,
00-30m,ETHUSD,0.5017977804891836,,0.6339404070037943,,0.4949928920525319,
01-04h,ETHUSD,,0.432021501680151,0.4184537679678938,0.43519057610928746,0.6729387322297407,0.5599762822302423
04h+,ETHUSD,0.38893409952165525,,0.42438534770403996,,0.5385042410483663,0.5749775150309552
30-60m,ETHUSD,0.3773569482938456,,0.6048823493075542,,0.5044202424878445,
