key,scanner_id,change_point_window_at_entry,trades,average_net_bps,net_bps,profit_factor,win_rate,average_prediction_probability,shap_expected_move_bps,shap_expected_net_bps,shap_scalper_probability,shap_confidence,shap_expected_fee_multiple,shap_atr_percentile_at_entry,shap_atr_bps_at_entry,shap_bb_width_percentile_at_entry,shap_planned_stop_bps,shap_planned_target_bps,shap_change_point_bars_since_shift,shap_change_point_return_score,shap_change_point_volatility_score,shap_cusum_alarm_recent_at_entry,shap_scanner_id,shap_symbol,shap_side,shap_regime_at_entry,shap_trend_regime_at_entry,shap_trend_direction_at_entry,shap_volatility_regime_at_entry,shap_session_regime_at_entry,shap_change_point_window_at_entry,shap_hour_utc
delta_imbalance_fade_v1 | 01-04h,delta_imbalance_fade_v1,01-04h,162,-4.439043157502026,-719.1249915153282,0.5424016416489074,0.4691358024691358,0.41560271866627574,0.0024970802562066675,0.006980209298820127,0.010275844852018637,0.004870296825834416,0.003335121546759335,0.006139899636994042,-0.001846738980629813,-0.001961820564426682,0.008580901438145746,0.019018010194156956,-0.0025347385205587137,-0.0029302510891526957,0.0007046525048675949,0.0,0.19824837432553727,0.0005187723240185349,0.00030239040456996426,0.0011268901030309518,-0.0004559997617144208,0.0015786473269949197,0.0,-0.0001516767895636675,0.0,8.273354543501174e-05
delta_imbalance_fade_v1 | 30-60m,delta_imbalance_fade_v1,30-60m,109,-5.8054645354191905,-632.7956343606918,0.47525765155618727,0.41284403669724773,0.41528242936582355,-0.00257550485518901,0.005489615694508086,0.010968920409394541,0.005425521598447066,0.003516923857625669,-0.0009927964344513956,0.0024381116341951068,-0.0003796856435141282,0.01110964966012835,0.011600290113386674,0.004132058942309129,-0.003401627534586105,0.0004114596779711087,0.0,0.1975596598411378,0.0006935403329114704,0.0005029751811998226,0.004506745544522244,-0.0006953375161196449,0.0012480566198631742,0.0,0.0005810298750195421,0.0,0.0006127360086055935
delta_imbalance_fade_v1 | 00-30m,delta_imbalance_fade_v1,00-30m,237,-5.614696046678387,-1330.6829630627776,0.5058320466895123,0.4092827004219409,0.40406151510635635,-0.014704119513089657,0.0027989533042274317,0.008731858248433895,0.005475075321596188,0.002199398978133877,-0.002786905073484293,-0.005267545240333237,-0.00010023340805604966,0.012667921578685465,-0.00713346581302795,0.008560544673939425,-0.002114456138196163,-0.0006768087596088235,0.0,0.19109259335292636,0.0015656294738834256,0.00026970834325011324,0.0036715644835695624,-0.0012227790837077525,0.0013627481767327712,0.0,-1.392789387903284e-05,0.0,2.7514805462821608e-05
delta_imbalance_fade_v1 | 04h+,delta_imbalance_fade_v1,04h+,133,-6.317474251317166,-840.2240754251831,0.39583480334194043,0.41353383458646614,0.40243123642161993,0.0026134034803104627,0.009905146320782966,0.008873369470353148,0.004897001418205973,0.005254300602174359,0.0021037005743904987,-0.016416713865465744,-0.0012411372553548625,0.007747464368788942,0.018990695301294915,-0.017113769598686154,-0.006360547590912148,0.0003735991171539127,0.0,0.177949451080442,-2.2373585361717852e-05,-0.0005010453539759544,0.0006228364227755455,-0.0007754412530126575,0.001968213253732922,0.0,0.00021815596574990042,0.0,-1.9080864209688387e-05
delta_momentum_burst_v1 | 30-60m,delta_momentum_burst_v1,30-60m,269,-6.507541716310735,-1750.5287216875877,0.3751669888819184,0.3308550185873606,0.3465968009195989,0.0036474986822686035,0.0025077922572096616,-0.004131415742781078,0.00895809816433505,0.00010098262745586544,-0.000696317776795532,0.0036470576835164288,-0.0018248048125394428,0.007141912943678165,0.0009045444338944777,0.004100137092429402,-0.001798398581959869,-0.00034232448746119795,0.0,-0.07046206723244128,-0.0004461683522450015,0.000667510612219485,0.00479669702227551,-0.00033497034926275725,0.001587824048028358,0.0,0.001599191169982538,0.0,0.001769744027476768
delta_momentum_burst_v1 | 01-04h,delta_momentum_burst_v1,01-04h,521,-7.5585007551070165,-3937.9788934107555,0.28106887445907497,0.30134357005758156,0.34505744442978564,0.0039238111967361145,0.007618038720311343,-0.0015618905298901966,0.0010449741336016622,0.0011758622480759612,0.0028357374186477823,0.003630806081784765,-0.00048777581584565576,0.008106713756970885,0.001528795476493362,-0.0021460561757178226,-0.0015809638541355196,0.00031826973749841757,0.0,-0.07108273559764261,-4.016920548620896e-06,0.0013158764339291247,-0.0005064463595329305,0.00041011721723388685,0.0012834035515480475,0.0,-0.0004290687427054346,0.0,-0.00024820052712597727
delta_momentum_burst_v1 | 04h+,delta_momentum_burst_v1,04h+,433,-7.322211302792606,-3170.5174941091987,0.2938263443427155,0.30484988452655887,0.34292464117097937,0.002872477826938454,0.007547474841305563,-0.0025451246074612187,-0.0028773886364680196,0.001023748463066009,0.0008753110641670413,0.002410325825142288,-0.0014979987713479121,0.008044296031070616,0.0009239054990061504,-0.003968296231307774,-0.0039387858521305824,-9.149372782750779e-05,0.0,-0.06450829991876494,-3.6672186051450074e-07,0.0007576283200243162,-0.0015759463356999452,-0.0008161999707027748,0.0010583352276822588,0.0,0.0003358461997636952,0.0,0.0012047332896878073
delta_momentum_burst_v1 | 00-30m,delta_momentum_burst_v1,00-30m,365,-7.736458468224898,-2823.8073409020876,0.33406469079483947,0.29863013698630136,0.33717170472105357,-0.0038563499183376483,-0.013571543000601424,-0.003015055363311585,0.0078111779086572405,-0.004668805007407816,-0.0013500682900107897,0.004069324808706845,-0.002436040150659772,0.00379478746379625,-0.008844987986589174,0.004740933612269158,-0.0017649446659864488,-0.0009376739443708996,0.0,-0.06982203962501077,-0.0007009201316327165,0.0003089389977552763,0.004672989726227768,-0.0016251969845415127,0.0013892595201585485,0.0,0.001978157780532834,0.0,0.001729979035542786
