,expected_move_bps,expected_net_bps,scalper_probability,confidence,expected_fee_multiple,atr_percentile_at_entry,atr_bps_at_entry,bb_width_percentile_at_entry,planned_stop_bps,planned_target_bps,change_point_bars_since_shift,change_point_return_score,change_point_volatility_score,cusum_alarm_recent_at_entry,scanner_id,symbol,side,regime_at_entry,trend_regime_at_entry,trend_direction_at_entry,volatility_regime_at_entry,session_regime_at_entry,change_point_window_at_entry,hour_utc
expected_move_bps,0.014165324482785582,0.0020111785945996193,0.0011729145646618348,0.00010851454722666829,0.00045693326294580193,0.0,0.0013999291816486341,0.00025041525363313645,0.0014954541287148942,0.0003059238922388542,0.0005690048842942626,7.355579195100793e-05,0.0008506760471650795,0.0,0.0034438836763207486,6.700806825886554e-05,0.0015104222933326455,0.00014287649764449926,0.00033010523864193637,0.000141977028069009,0.0,0.0,0.0,3.747959064773535e-05
expected_net_bps,0.002011178594599619,0.022164822568973265,0.0016676525905209676,0.0005886685841682332,0.0,0.001305782696951314,0.0023725614947637244,0.0008025633887215011,0.001850779786332399,0.0011758919451501303,0.0008618983041462212,0.0010791252787243834,0.0001885403927345946,0.0,0.006187254710758682,0.0,0.0010719293795463515,0.0003259230499201832,0.0005438140757910294,0.0017879422509940808,0.0,0.00018525208995473762,0.0,0.00035155846983753777
scalper_probability,0.0011729145646618344,0.0016676525905209671,0.011297689609825105,0.0,0.000441326308976855,0.0008302914581748246,0.000283383459811671,0.00023512543339671178,0.0036352078124383264,0.0008218276513761996,0.0009084751832663641,0.00010143895910386865,0.00014607481138377204,0.0,0.0025915298742996266,0.000777444799953287,0.0003154028083435038,0.0009626341780333434,5.826452939663459e-05,0.00023498806085915823,0.0,0.0,0.0,0.0002751460942608652
confidence,0.00010851454722666756,0.000588668584168233,0.0,0.011768441516328408,0.0003991416368701056,0.0004485383040731649,0.0,0.0013054084254407068,0.00013717406261673469,0.00025025077680766115,0.0,0.000755935697069531,0.0,0.0,0.0032783247584414134,0.00042146318499439953,0.0,0.0,0.0,0.0015851043903890606,0.0,0.0,0.0,0.0010168298644066657
expected_fee_multiple,0.00045693326294580204,0.0,0.00044132630897685503,0.0003991416368700968,0.008033865964677568,0.0003361566614405946,0.0014645279066610637,0.0,0.0008378965500833961,0.00044347647273835144,0.000255255164434593,0.0,6.945700401439818e-05,0.0,0.0018109806345025128,0.0,0.0,0.0,0.0,4.349186962881521e-05,0.0,0.0,0.0,0.00035705837957054724
atr_percentile_at_entry,0.0,0.0013057826969513138,0.0008302914581748239,0.0004485383040731649,0.0003361566614405947,0.005248454567930228,0.0,0.0,0.0,0.0001537276277656046,9.467794035960057e-05,0.0,0.0,0.0,0.002315030525473282,0.00028163000920468394,0.0,0.0,0.0,0.0007085820255864571,0.0,0.0,0.0,0.0
atr_bps_at_entry,0.001399929181648634,0.002372561494763724,0.0002833834598116712,0.0,0.00146452790666106,0.0,0.004722980787125111,0.0006561847011810012,0.0014060633062463188,0.0023564871251638493,0.0010909087255869725,0.0,4.003453824104399e-05,0.0,0.005368841153492247,0.00022168825493697355,0.0001087504838467777,0.0,0.00023104799328273635,0.00016091942789468072,0.0,0.0,0.0,0.0001275763686108637
bb_width_percentile_at_entry,0.0002504152536331364,0.0008025633887215012,0.00023512543339671178,0.0013054084254407084,0.0,0.0,0.0006561847011810008,0.003072729505217785,0.0003998852242330766,0.0009077631137759246,0.0,0.0,0.00027703990457668133,0.0,0.0016007218987628905,0.0,0.0,0.0004716243484076692,0.0,0.0003216266736398956,0.0,0.0,0.0,0.0
planned_stop_bps,0.001495454128714894,0.0018507797863323984,0.003635207812438327,0.00013717406261673469,0.0008378965500833956,0.0,0.0014060633062463186,0.00039988522423307666,0.01742271024728041,0.004556213814163695,0.00025898692662562384,4.621938122838398e-05,0.00022899975475128276,0.0,0.003074105688785969,0.0,0.00014049844547924987,0.0,0.00011304360189437716,0.00039916568851441046,0.0,0.00022237376201517247,0.0,0.0
planned_target_bps,0.00030592389223885413,0.0011758919451501306,0.0008218276513761995,0.00025025077680766126,0.00044347647273835144,0.00015372762776560462,0.0023564871251638498,0.0009077631137759273,0.004556213814163695,0.020292967553919294,0.0002701008536381131,0.0007260389346007555,0.0003350244194202656,0.0,0.011371276186462203,0.00010759599469448924,0.0,0.0,0.0003378837744813184,4.392163172637381e-05,0.0,0.00042542037093317066,0.0,9.247367407336285e-05
change_point_bars_since_shift,0.0005690048842942626,0.000861898304146221,0.0009084751832663643,0.0,0.000255255164434593,9.467794035960057e-05,0.0010909087255869716,0.0,0.0002589869266256239,0.00027010085363811344,0.00499382222447256,0.0005146570258814023,0.0,0.0,0.002205893791498106,3.296425398783354e-05,0.00020928210418958904,0.0005884156690535984,0.0,0.00010821378892633565,0.0,0.0,0.0,0.0
