key,scanner_id,volatility_regime_at_entry,trades,average_net_bps,net_bps,profit_factor,win_rate,average_prediction_probability,shap_expected_move_bps,shap_expected_net_bps,shap_scalper_probability,shap_confidence,shap_expected_fee_multiple,shap_atr_percentile_at_entry,shap_atr_bps_at_entry,shap_bb_width_percentile_at_entry,shap_planned_stop_bps,shap_planned_target_bps,shap_change_point_bars_since_shift,shap_change_point_return_score,shap_change_point_volatility_score,shap_cusum_alarm_recent_at_entry,shap_scanner_id,shap_symbol,shap_side,shap_regime_at_entry,shap_trend_regime_at_entry,shap_trend_direction_at_entry,shap_volatility_regime_at_entry,shap_session_regime_at_entry,shap_change_point_window_at_entry,shap_hour_utc
delta_imbalance_fade_v1 | medium,delta_imbalance_fade_v1,medium,180,-4.882275735514911,-878.8096323926841,0.49988646054339997,0.45,0.418521409400212,0.007489699102159187,0.0062781321972821425,0.009810332549927211,0.005173820253302302,0.003195438366260956,0.011423440993418873,-0.0031010572046858594,-0.0015607242627857407,0.006195130036415924,0.026247712593241455,-0.0026264628913339285,-0.0014088308733939366,1.0860687126018162e-05,0.0,0.19737769476105851,0.00043989557718830875,-2.4072264579195052e-05,0.0011915906409645594,-0.0005371498128345967,0.0017376066930831424,0.0,-0.0003630901242398356,0.0,-8.659674262201923e-05
delta_imbalance_fade_v1 | low,delta_imbalance_fade_v1,low,41,-4.096935076239845,-167.97433812583364,0.5310084461356465,0.4878048780487805,0.40816210825945853,0.004902855667393321,0.006222598118913362,0.010193399616606001,0.004209919157702363,0.0032915922178236045,0.01440247766165663,-0.01128970742333791,-0.0029455501683493417,0.0037286626619333404,0.021165204543358365,-0.009524962843531028,-0.0015624284187892082,-0.0012610312163252354,0.0,0.18185816784500722,8.330309179073116e-06,-0.000637342636046982,-0.001673228229582221,-0.0006278262569451998,0.00346586562764205,0.0,-0.00022032206624144162,0.0,-0.00019516688322194315
delta_imbalance_fade_v1 | high,delta_imbalance_fade_v1,high,420,-5.895342128203485,-2476.0436938454636,0.47823880831961996,0.4095238095238095,0.404311568139089,-0.01086347526234014,0.005535019267833439,0.009347901170997815,0.005298499163798537,0.0034132851002509263,-0.00509756275982697,-0.005819477170477082,-0.0003484031310663967,0.012775641536754409,-0.0009806697663428132,0.0015613602678677336,-0.004464066403988482,0.0002334170795910282,0.0,0.18957688391220848,0.0010671256301556637,0.00031323200301135976,0.0035259655474245786,-0.0010004005649981373,0.0012420310087669494,0.0,0.0003306282765292654,0.0,0.00025657992651748784
delta_momentum_burst_v1 | low,delta_momentum_burst_v1,low,209,-7.47937261563246,-1563.188876667184,0.2597810225667919,0.291866028708134,0.34671570344917924,0.005131675530058336,0.01165999601453824,-0.00195908071468768,-0.005662753458561091,0.0027274064646711105,0.007880939473996467,0.003351566074368847,0.0010077424792623861,0.009092250009802155,0.0033928547146678365,-0.0025005018546483547,0.0025231384955008975,-0.0006247332066926503,0.0,-0.06888520712977864,0.0002712921186899462,0.0007929020127999092,-0.0039932411968039245,0.00021980062092228112,0.001411014989957901,0.0,-0.0012349386974520329,0.0,-0.001971381902148156
delta_momentum_burst_v1 | medium,delta_momentum_burst_v1,medium,533,-6.933480321418579,-3695.545011316103,0.3137286729002044,0.32082551594746717,0.3446944302718615,0.004481914393274849,0.008447632614247087,-0.002228635213662675,-0.0018464174068253828,0.001502053956423397,0.002819991331663357,0.002975358242344594,-0.0007895794356422858,0.008313347319677996,0.0024069415091683617,-0.0008100933491422098,-0.00033261986360474765,-9.489548972161086e-05,0.0,-0.07152000149254582,-1.0227431535145287e-05,0.0007288822355212767,-0.0009801128495017,0.0006417554626411408,0.0010029795924548861,0.0,-0.000520617569748101,0.0,-0.0008090972780599709
delta_momentum_burst_v1 | high,delta_momentum_burst_v1,high,846,-7.5934971183526505,-6424.098562126343,0.3246650887266572,0.30141843971631205,0.3408720998696554,-0.0007088446802562745,-0.004706252540064764,-0.002990921424667149,0.007951520729975216,-0.0023542138239397163,-0.0023331291391890585,0.003682434834784437,-0.002449839428583522,0.005533990167297214,-0.004468736522242368,0.0011245800867030786,-0.004736643051853149,-0.00015010164481642254,0.0,-0.06724393684893852,-0.0005075124973631767,0.0008885780393703296,0.004026828594925463,-0.0014314910541433393,0.0014558233357456188,0.0,0.0019026926201077404,0.0,0.002769631439623502
